   deg, fixed, cos, sin, cord
-180.0,   800, 800, 000,  58f
-179.9,   801, 801, ffd,  800
-179.8,   802, 801, ffa,  800
-179.7,   803, 801, ff7,  800
-179.6,   804, 801, ff4,  801
-179.6,   805, 801, ff1,  800
-179.5,   806, 801, fee,  802
-179.4,   807, 801, feb,  802
-179.3,   808, 801, fe7,  801
-179.2,   809, 801, fe4,  803
-179.1,   80a, 801, fe1,  803
-179.0,   80b, 801, fde,  805
-178.9,   80c, 801, fdb,  800
-178.9,   80d, 801, fd8,  800
-178.8,   80e, 801, fd5,  802
-178.7,   80f, 801, fd1,  802
-178.6,   810, 801, fce,  804
-178.5,   811, 801, fcb,  806
-178.4,   812, 801, fc8,  808
-178.3,   813, 801, fc5,  808
-178.2,   814, 801, fc2,  80a
-178.2,   815, 802, fbf,  80a
-178.1,   816, 802, fbb,  800
-178.0,   817, 802, fb8,  800
-177.9,   818, 802, fb5,  802
-177.8,   819, 802, fb2,  802
-177.7,   81a, 802, faf,  804
-177.6,   81b, 802, fac,  806
-177.5,   81c, 802, fa9,  808
-177.5,   81d, 803, fa5,  808
-177.4,   81e, 803, fa2,  80a
-177.3,   81f, 803, f9f,  80a
-177.2,   820, 803, f9c,  80a
-177.1,   821, 803, f99,  80c
-177.0,   822, 803, f96,  80c
-176.9,   823, 803, f93,  80e
-176.8,   824, 804, f8f,  810
-176.7,   825, 804, f8c,  812
-176.7,   826, 804, f89,  812
-176.6,   827, 804, f86,  814
-176.5,   828, 804, f83,  814
-176.4,   829, 805, f80,  800
-176.3,   82a, 805, f7d,  800
-176.2,   82b, 805, f7a,  802
-176.1,   82c, 805, f76,  802
-176.0,   82d, 805, f73,  804
-176.0,   82e, 806, f70,  806
-175.9,   82f, 806, f6d,  808
-175.8,   830, 806, f6a,  808
-175.7,   831, 806, f67,  80a
-175.6,   832, 807, f64,  80a
-175.5,   833, 807, f60,  80a
-175.4,   834, 807, f5d,  80c
-175.3,   835, 807, f5a,  80c
-175.3,   836, 808, f57,  80e
-175.2,   837, 808, f54,  810
-175.1,   838, 808, f51,  812
-175.0,   839, 808, f4e,  812
-174.9,   83a, 809, f4b,  814
-174.8,   83b, 809, f47,  814
-174.7,   83c, 809, f44,  814
-174.6,   83d, 809, f41,  814
-174.6,   83e, 80a, f3e,  816
-174.5,   83f, 80a, f3b,  818
-174.4,   840, 80a, f38,  818
-174.3,   841, 80b, f35,  81a
-174.2,   842, 80b, f32,  81c
-174.1,   843, 80b, f2e,  81e
-174.0,   844, 80c, f2b,  81e
-173.9,   845, 80c, f28,  81e
-173.8,   846, 80c, f25,  820
-173.8,   847, 80d, f22,  820
-173.7,   848, 80d, f1f,  822
-173.6,   849, 80d, f1c,  824
-173.5,   84a, 80e, f19,  826
-173.4,   84b, 80e, f15,  826
-173.3,   84c, 80e, f12,  828
-173.2,   84d, 80f, f0f,  828
-173.1,   84e, 80f, f0c,  801
-173.1,   84f, 810, f09,  801
-173.0,   850, 810, f06,  801
-172.9,   851, 810, f03,  803
-172.8,   852, 811, f00,  805
-172.7,   853, 811, efc,  807
-172.6,   854, 811, ef9,  807
-172.5,   855, 812, ef6,  809
-172.4,   856, 812, ef3,  80b
-172.4,   857, 813, ef0,  80b
-172.3,   858, 813, eed,  80b
-172.2,   859, 814, eea,  80d
-172.1,   85a, 814, ee7,  80d
-172.0,   85b, 814, ee4,  80f
-171.9,   85c, 815, ee0,  811
-171.8,   85d, 815, edd,  813
-171.7,   85e, 816, eda,  813
-171.7,   85f, 816, ed7,  815
-171.6,   860, 817, ed4,  815
-171.5,   861, 817, ed1,  815
-171.4,   862, 818, ece,  817
-171.3,   863, 818, ecb,  817
-171.2,   864, 819, ec8,  819
-171.1,   865, 819, ec4,  81b
-171.0,   866, 81a, ec1,  81d
-170.9,   867, 81a, ebe,  81d
-170.9,   868, 81b, ebb,  81f
-170.8,   869, 81b, eb8,  81f
-170.7,   86a, 81c, eb5,  821
-170.6,   86b, 81c, eb2,  821
-170.5,   86c, 81d, eaf,  823
-170.4,   86d, 81d, eac,  825
-170.3,   86e, 81e, ea9,  827
-170.2,   86f, 81e, ea5,  827
-170.2,   870, 81f, ea2,  829
-170.1,   871, 81f, e9f,  829
-170.0,   872, 820, e9c,  829
-169.9,   873, 820, e99,  829
-169.8,   874, 821, e96,  82b
-169.7,   875, 821, e93,  82b
-169.6,   876, 822, e90,  82d
-169.5,   877, 823, e8d,  82f
-169.5,   878, 823, e8a,  831
-169.4,   879, 824, e87,  833
-169.3,   87a, 824, e83,  833
-169.2,   87b, 825, e80,  833
-169.1,   87c, 825, e7d,  835
-169.0,   87d, 826, e7a,  835
-168.9,   87e, 827, e77,  837
-168.8,   87f, 827, e74,  839
-168.8,   880, 828, e71,  83b
-168.7,   881, 828, e6e,  83b
-168.6,   882, 829, e6b,  83d
-168.5,   883, 82a, e68,  83d
-168.4,   884, 82a, e65,  83d
-168.3,   885, 82b, e62,  83f
-168.2,   886, 82c, e5e,  841
-168.1,   887, 82c, e5b,  843
-168.0,   888, 82d, e58,  845
-168.0,   889, 82e, e55,  845
-167.9,   88a, 82e, e52,  847
-167.8,   88b, 82f, e4f,  847
-167.7,   88c, 830, e4c,  847
-167.6,   88d, 830, e49,  849
-167.5,   88e, 831, e46,  84b
-167.4,   88f, 832, e43,  84d
-167.3,   890, 832, e40,  84d
-167.3,   891, 833, e3d,  84f
-167.2,   892, 834, e3a,  851
-167.1,   893, 834, e37,  851
-167.0,   894, 835, e34,  851
-166.9,   895, 836, e30,  832
-166.8,   896, 836, e2d,  832
-166.7,   897, 837, e2a,  834
-166.6,   898, 838, e27,  836
-166.6,   899, 839, e24,  838
-166.5,   89a, 839, e21,  838
-166.4,   89b, 83a, e1e,  83a
-166.3,   89c, 83b, e1b,  83c
-166.2,   89d, 83c, e18,  83c
-166.1,   89e, 83c, e15,  83c
-166.0,   89f, 83d, e12,  83e
-165.9,   8a0, 83e, e0f,  840
-165.8,   8a1, 83f, e0c,  842
-165.8,   8a2, 83f, e09,  842
-165.7,   8a3, 840, e06,  844
-165.6,   8a4, 841, e03,  846
-165.5,   8a5, 842, e00,  846
-165.4,   8a6, 843, dfd,  846
-165.3,   8a7, 843, dfa,  848
-165.2,   8a8, 844, df7,  848
-165.1,   8a9, 845, df3,  84a
-165.1,   8aa, 846, df0,  84c
-165.0,   8ab, 847, ded,  84e
-164.9,   8ac, 847, dea,  850
-164.8,   8ad, 848, de7,  850
-164.7,   8ae, 849, de4,  850
-164.6,   8af, 84a, de1,  852
-164.5,   8b0, 84b, dde,  854
-164.4,   8b1, 84c, ddb,  856
-164.4,   8b2, 84c, dd8,  856
-164.3,   8b3, 84d, dd5,  858
-164.2,   8b4, 84e, dd2,  85a
-164.1,   8b5, 84f, dcf,  85a
-164.0,   8b6, 850, dcc,  85a
-163.9,   8b7, 851, dc9,  85a
-163.8,   8b8, 852, dc6,  85c
-163.7,   8b9, 852, dc3,  85e
-163.7,   8ba, 853, dc0,  860
-163.6,   8bb, 854, dbd,  862
-163.5,   8bc, 855, dba,  862
-163.4,   8bd, 856, db7,  864
-163.3,   8be, 857, db4,  864
-163.2,   8bf, 858, db1,  866
-163.1,   8c0, 859, dae,  866
-163.0,   8c1, 85a, dab,  868
-162.9,   8c2, 85b, da8,  86a
-162.9,   8c3, 85b, da5,  86c
-162.8,   8c4, 85c, da2,  86c
-162.7,   8c5, 85d, d9f,  86e
-162.6,   8c6, 85e, d9c,  86e
-162.5,   8c7, 85f, d99,  86e
-162.4,   8c8, 860, d96,  870
-162.3,   8c9, 861, d93,  872
-162.2,   8ca, 862, d90,  874
-162.2,   8cb, 863, d8d,  876
-162.1,   8cc, 864, d8a,  876
-162.0,   8cd, 865, d87,  878
-161.9,   8ce, 866, d84,  878
-161.8,   8cf, 867, d81,  87a
-161.7,   8d0, 868, d7e,  87a
-161.6,   8d1, 869, d7b,  87c
-161.5,   8d2, 86a, d78,  87e
-161.5,   8d3, 86b, d75,  880
-161.4,   8d4, 86c, d72,  882
-161.3,   8d5, 86d, d6f,  882
-161.2,   8d6, 86e, d6c,  884
-161.1,   8d7, 86f, d69,  884
-161.0,   8d8, 870, d66,  886
-160.9,   8d9, 871, d63,  886
-160.8,   8da, 872, d60,  888
-160.8,   8db, 873, d5d,  88a
-160.7,   8dc, 874, d5a,  88c
-160.6,   8dd, 875, d57,  88e
-160.5,   8de, 876, d54,  88e
-160.4,   8df, 877, d52,  88e
-160.3,   8e0, 878, d4f,  890
-160.2,   8e1, 879, d4c,  892
-160.1,   8e2, 87a, d49,  894
-160.0,   8e3, 87b, d46,  896
-160.0,   8e4, 87c, d43,  896
-159.9,   8e5, 87e, d40,  898
-159.8,   8e6, 87f, d3d,  898
-159.7,   8e7, 880, d3a,  898
-159.6,   8e8, 881, d37,  89a
-159.5,   8e9, 882, d34,  89c
-159.4,   8ea, 883, d31,  89e
-159.3,   8eb, 884, d2e,  8a0
-159.3,   8ec, 885, d2b,  8a0
-159.2,   8ed, 886, d28,  8a2
-159.1,   8ee, 887, d25,  8a2
-159.0,   8ef, 889, d22,  8a4
-158.9,   8f0, 88a, d1f,  8a6
-158.8,   8f1, 88b, d1d,  8a6
-158.7,   8f2, 88c, d1a,  8a8
-158.6,   8f3, 88d, d17,  8aa
-158.6,   8f4, 88e, d14,  8ac
-158.5,   8f5, 88f, d11,  8ac
-158.4,   8f6, 891, d0e,  8ac
